IDFM:1069,Terres d'Envol
IDFM:1051,Poissy - Les Mureaux
IDFM:885,Paris-Saclay Mobilités
IDFM:184,Seine-Saint-Denis
IDFM:1078,Provinois - Brie et Seine
IDFM:81,Sit'bus
IDFM:1050,Grand Melun
IDFM:115,Valoise
IDFM:1079,Lignes Île-de-France Ouest
IDFM:663,Chavilbus
IDFM:1075,Vallée du Loing - Nemours
IDFM:1062,Saint Germain Boucles de Seine
IDFM:1054,Argenteuil - Boucles de Seine
IDFM:1061,Vélizy Vallées
IDFM:1068,Saint-Quentin-en-Yvelines
IDFM:1074,Fontainebleau - Moret
IDFM:55,Noctilien
IDFM:1055,Meaux et Ourcq
IDFM:113,ValBus
IDFM:1060,Paris Saclay
IDFM:6,Apolo 7
IDFM:1073,Pays de Montereau
IDFM:1081,Centre et Sud Yvelines
IDFM:1056,Brie et 2 Morin
IDFM:1064,Vallée Grand Sud Paris
IDFM:78,Sénart
IDFM:1065,Marne et Seine
IDFM:1048,Vexin
IDFM:1072,Roissy Est
IDFM:1049,Vallée de Montmorency
IDFM:1063,Bièvre
IDFM:1057,Val d'Yerres Val de Seine
IDFM:1080,Evry Centre Essonne
IDFM:1058,Essonne Sud Est
IDFM:1071,Roissy Ouest
IDFM:76,Seine et Marne Express
IDFM:1059,Essonne Sud Ouest
IDFM:1083,Haut Val d'Oise
IDFM:1076,Cœur d’Essonne
IDFM:16,Busval d'Oise
IDFM:593,Titus
IDFM:1070,Pays Briard
IDFM:59,Parisis
IDFM:1082,Cergy-Pontoise Confluence
IDFM:1052,Mantois
IDFM:64,Marne-la-Vallée
IDFM:1077,Grand Versailles
IDFM:1047,Seine Grand Orly
IDFM:Operator_100,RATP
IDFM:Operator_503,Aéroport Paris-Beauvais / SAGEB
IDFM:Operator_030,Cars Lacroix
IDFM:Operator_038,Cars Rose
IDFM:Operator_1028,Keolis Roissy Pays de France Ouest
IDFM:Operator_231,Magical Shuttle
IDFM:Operator_043,ADP
IDFM:Operator_233,Autobus du Fort
IDFM:Operator_1004,Keolis Ouest Val-de-Marne
IDFM:Operator_116,Keolis Mobilité Roissy
IDFM:Operator_111,Mobicité
IDFM:Operator_039,SAVAC
IDFM:Operator_334,Autocars Dominique
IDFM:71,RER
IDFM:93,TER
IDFM:1046,Transilien
