stop_depart,stop_arrivee,duree_secondes,route_id
IDFM:22078,IDFM:463217,120,IDFM:C01371
IDFM:463217,IDFM:22099,120,IDFM:C01371
IDFM:22099,IDFM:22102,120,IDFM:C01371
IDFM:22102,IDFM:463193,120,IDFM:C01371
IDFM:463149,IDFM:463130,60,IDFM:C01371
IDFM:463130,IDFM:463040,60,IDFM:C01371
IDFM:463040,IDFM:463012,120,IDFM:C01371
IDFM:463012,IDFM:462943,60,IDFM:C01371
IDFM:462943,IDFM:463294,120,IDFM:C01371
IDFM:463294,IDFM:463197,120,IDFM:C01371
IDFM:463197,IDFM:22089,120,IDFM:C01371
IDFM:22089,IDFM:463307,120,IDFM:C01371
IDFM:463307,IDFM:22091,60,IDFM:C01371
IDFM:22091,IDFM:463160,60,IDFM:C01371
IDFM:463160,IDFM:463218,60,IDFM:C01371
IDFM:463218,IDFM:463227,60,IDFM:C01371
IDFM:463227,IDFM:22075,60,IDFM:C01371
IDFM:22075,IDFM:463150,120,IDFM:C01371
IDFM:463150,IDFM:463010,60,IDFM:C01371
IDFM:463010,IDFM:463181,60,IDFM:C01371
IDFM:463181,IDFM:463185,120,IDFM:C01371
IDFM:463185,IDFM:463013,60,IDFM:C01371
IDFM:463013,IDFM:22088,60,IDFM:C01371
IDFM:22088,IDFM:22078,120,IDFM:C01371
IDFM:22101,IDFM:463170,60,IDFM:C01371
IDFM:463170,IDFM:463044,120,IDFM:C01371
IDFM:463044,IDFM:22100,60,IDFM:C01371
IDFM:22100,IDFM:463257,120,IDFM:C01371
IDFM:463257,IDFM:463121,60,IDFM:C01371
IDFM:463121,IDFM:22086,60,IDFM:C01371
IDFM:22086,IDFM:22084,120,IDFM:C01371
IDFM:22084,IDFM:22082,60,IDFM:C01371
IDFM:22082,IDFM:22090,60,IDFM:C01371
IDFM:22090,IDFM:22085,120,IDFM:C01371
IDFM:22085,IDFM:463041,60,IDFM:C01371
IDFM:463041,IDFM:22079,120,IDFM:C01371
IDFM:22079,IDFM:22081,60,IDFM:C01371
IDFM:22081,IDFM:22087,60,IDFM:C01371
IDFM:22087,IDFM:463080,60,IDFM:C01371
